Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8179,0.8732,0.7262,0.5869,0.6492,0.5281,0.5336
0.8151,0.8714,0.7228,0.5817,0.6446,0.5217,0.5273
0.8179,0.8745,0.7309,0.5861,0.6506,0.5294,0.5353
0.8159,0.873,0.7259,0.5828,0.6465,0.524,0.5298
0.8121,0.8715,0.7307,0.5747,0.6434,0.5183,0.5252
0.8158,0.8727,0.7273,0.5824,0.6469,0.5243,0.5302
0.0021,0.0012,0.0031,0.0043,0.0027,0.0041,0.0038
