Variant,Accuracy,AUC,Recall,Precision,F1
baseline,0.6999714285714285,0.7486857142857142,0.6238571428571429,0.5008,0.5552857142857143
spw_3.31,0.6999714285714285,0.7486857142857142,0.6238571428571429,0.5008,0.5552857142857143
spw_3.31_dropped,0.6995428571428572,0.7482142857142857,0.6238428571428571,0.4998428571428572,0.5548428571428572
