Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8168,0.8738,0.7295,0.5842,0.6488,0.5269,0.5328
0.8152,0.8723,0.7262,0.5813,0.6457,0.5228,0.5287
0.8219,0.8751,0.723,0.5957,0.6532,0.5349,0.5394
0.8132,0.8732,0.7269,0.5773,0.6435,0.5192,0.5255
0.8134,0.872,0.7312,0.5772,0.6451,0.5209,0.5276
0.8161,0.8733,0.7274,0.5831,0.6473,0.5249,0.5308
0.0032,0.0011,0.0028,0.0068,0.0034,0.0056,0.0049
