Model,Accuracy,Precision,Recall,F1-score,ROC AUC,Train Time (s)
Decision Tree,0.9656264133876075,0.9640287769784173,0.958120531154239,0.9610655737704917,0.9741486807370362,0.012284994125366211
Random Forest,0.973767526006332,0.9801876955161627,0.9601634320735445,0.9700722394220846,0.9946999820914529,0.3345305919647217
HistGradientBoosting,0.9565807327001357,0.9632738719832109,0.9376915219611849,0.9503105590062112,0.9917977196450128,0.0874946117401123
Logistic Regression,0.9393939393939394,0.9378238341968912,0.9244126659856997,0.9310699588477367,0.9824400892774233,0.6434826850891113
Voting Classifier,0.9656264133876075,0.9747634069400631,0.9468845760980592,0.9606217616580311,0.9950880006102172,0.7239267826080322
